CookerStat, GenerateAssetRegistry=0.023544, Initialize=0.125576, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
SavePackageTransactionId43AA8CC74565FA47DE2BD6B92F503B0A_0, Filename=D:/Unreal4Projects_LJS/MyStudy_LJS/Content/TwinStickShooter/Map/TSSMap.umap, AutoPackageBackupDelegate=0.307295, FlushAsyncLoading=0.006944, FlushStreamingFunc=0.114102, BlockTillAllRequestsFinished=0.018716, ResetLoadersForSaveUnMarkAllObjects=0.303973, TagPackageExports=0.099614, BeginCacheForCookedPlatformData=0.001509, SerializeImports=0.686128, GatherLocalizableTextData=0.671946, MarkNames=0.009961, SerializeSummary=0.014789, SerializeNames=0.063088, SerializeGatherableTextData=0.001509, BuildExportMap=0.025962, SortExportsNonSeekfree=0.018716, SortExportsSeekfreeConstructor=0.067618, SortExportsSeekfreeInner=3.755446, SortExportsSeekfree=0.006642, BuildDependencyMap=0.018112, SerializeImportMap=0.013888, SerializeExportMap=0.010867, SerializeDependencyMap=0.001810, SerializeStringAssetReferenceMap=0.001509, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.348952, SerializeExports=1.297098, SerializeBulkData=0.016600, MoveFile=1.065869, UnaccountedTime=0.083916, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2023A0824698EAC0D808089D0B7DBE00__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=461, Duration=20.999849, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_4, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0E39211946142D19D3CD0BB95557AB9E__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=437, Duration=17.821257, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2D13C90E44AB8ABA625A7DA230837732__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=473, Duration=48.549469, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_70E36AF94F1FD476235452AC2639C4D6__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=397, Duration=5.197138, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_5, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2A2A065247416FC1B5BF4EA607E2BA5B__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=461, Duration=31.005022, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B04AD92D479D95F2422F8AB9CA1B27DD__1_0_13123_0, StartTime=2016.06.03-22.58.28, HierarchicalDDC=, DataSize=437, Duration=27.098339, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DB10B17640EC5A5807BC89AB59CF34D6__1_0_13123_0, StartTime=2016.06.03-22.58.32, HierarchicalDDC=, DataSize=409, Duration=3.676061, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_6, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B072C7B54DC8926252250E8DDE2209D1__1_0_13123_0, StartTime=2016.06.03-22.58.32, HierarchicalDDC=, DataSize=499, Duration=15.444099, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId20A8FC0F4456034FA0235F8C84C72B78_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B9BF74824290A66ADC0054948058F3A2__1_0_13123_0, StartTime=2016.06.03-22.58.32, HierarchicalDDC=, DataSize=537, Duration=14.601909, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_94BE03024F6EB82D31D3B5B8A674CAF2__1_0_13123_0, StartTime=2016.06.03-22.58.32, HierarchicalDDC=, DataSize=437, Duration=15.690118, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionId0D994343407793EE331CB99DF4D8EB2D_7, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_872AEDCE460F5D21EDFC08B27324F3D6__1_0_13123_0, StartTime=2016.06.03-22.58.34, HierarchicalDDC=, DataSize=525, Duration=5.207401, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
DDCTransactionIdA07D2D304E0062332DE684985DE28173_8, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7D13F8024579B7232C0C54979D931E0B__1_0_13123_0, StartTime=2016.06.03-22.58.34, HierarchicalDDC=, DataSize=499, Duration=6.078568, RunGuid=RunIDB3B55ACB46460DFBB768A0ADC61CD46A
